session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status,Vision
5ff8414d80d5bf5a188bf365,5fbe258fdb869c2d5119962e,RETURNED,2021-01-08 11:26:14.575000,,13098.018915,63,41,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff8414e932d565941099e83,5e6645daaf3bd53bfad40b9f,APPROVED,2021-01-08 11:26:06.854000,2021-01-08 11:49:45.850000,1418.996,65,198,4,97,2021-01-08 12:08:25.007000,4422804F,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No,Yes
5ff84150dfb1e65988d05956,5ea03f29271c1b0124707b36,RETURNED,2021-01-08 11:26:12.302000,,13100.528721,71,192,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff8415503510f59c635d7b8,5ea6a697f5d217022e2f7f45,RETURNED,2021-01-08 11:26:15.706000,,13097.124874,33,100,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff84157bb5f4258eb759c58,5f859e6c3abbee020984badb,APPROVED,2021-01-08 11:26:17.995000,2021-01-08 11:37:20.503000,662.508,34,47,0,100,2021-01-08 12:08:28.808000,4422804F,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Female,No,Yes
5ff84158d63e91596e662724,5f9aab7cd52dbb1dedc51220,RETURNED,2021-01-08 11:26:27.511000,,13085.578366,50,33,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff8415a71ad5658faeca909,5f25e860dd98342ce97e7403,APPROVED,2021-01-08 11:26:21.036000,2021-01-08 11:51:09.708000,1488.672,26,141,1,100,2021-01-08 12:08:32.142000,4422804F,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Female,No,Yes
5ff8415b281b5e5966691554,5f74b3a0d780450b219f8616,APPROVED,2021-01-08 11:26:23.288000,2021-01-08 11:35:47.757000,564.469,24,99,2,99,2021-01-08 12:08:36.146000,4422804F,United Kingdom,United Kingdom,Full-Time,DATA EXPIRED,English,United Kingdom,Female,Yes,Yes
5ff8415c63af7659c10b4ce6,5d1a1d97a51463000183f7af,APPROVED,2021-01-08 11:26:23.399000,2021-01-08 11:33:41.568000,438.169,26,104,1,100,2021-01-08 12:08:39.788000,4422804F,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Male,No,Yes
5ff8415e4721d55938c78119,5f138bbecda32013aed8add1,APPROVED,2021-01-08 11:26:26.993000,2021-01-08 11:44:17.894000,1070.901,23,112,1,100,2021-01-08 12:08:42.993000,4422804F,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,Yes,Yes
5ff8415f6c8d83584a9e823f,5eb9b011e926960deb4d6d91,APPROVED,2021-01-08 11:26:26.538000,2021-01-08 11:36:41.928000,615.39,24,173,1,100,2021-01-08 12:08:47.092000,4422804F,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
