,target,target_present,set_size,response,search_time,correct
759,Q,0,1,1,3,0
760,Q,0,1,0,2,1
761,Q,0,1,0,4,1
762,Q,0,1,0,3,1
763,Q,0,1,0,4,1
764,Q,0,1,0,3,1
765,Q,0,1,0,4,1
766,Q,0,1,0,3,1
767,Q,0,1,0,2,1
768,Q,0,1,0,6,1
769,Q,0,1,0,7,1
770,Q,0,1,0,2,1
771,Q,0,1,0,3,1
772,Q,0,1,0,2,1
773,Q,0,1,0,2,1
774,Q,0,1,0,3,1
775,Q,0,1,0,2,1
776,Q,0,1,0,2,1
777,Q,0,1,0,2,1
778,Q,0,1,1,7,0
779,Q,0,1,0,3,1
780,Q,0,1,0,3,1
781,Q,0,1,0,2,1
782,Q,0,1,1,3,0
783,Q,0,1,0,2,1
784,Q,0,1,0,3,1
785,Q,0,1,0,2,1
786,Q,0,1,0,2,1
787,Q,0,1,0,3,1
788,Q,0,1,0,2,1
789,Q,0,1,0,4,1
790,Q,0,1,0,3,1
791,Q,0,1,0,3,1
792,Q,0,1,0,2,1
793,Q,0,1,0,2,1
794,Q,0,1,0,3,1
795,Q,0,1,1,2,0
796,Q,0,1,0,4,1
797,Q,0,1,0,4,1
798,Q,0,1,1,4,0
799,Q,0,1,0,2,1
800,Q,0,1,0,3,1
801,Q,0,1,0,5,1
802,Q,0,1,1,2,0
803,Q,0,1,0,2,1
804,Q,0,1,0,6,1
805,Q,0,1,0,3,1
806,Q,0,1,0,3,1
807,Q,0,1,0,2,1
808,Q,0,1,0,3,1
809,Q,0,1,0,3,1
810,Q,0,1,0,2,1
811,Q,0,1,0,6,1
812,Q,0,1,0,2,1
813,Q,0,1,0,3,1
814,Q,0,1,0,2,1
815,Q,0,1,0,3,1
816,Q,0,1,0,2,1
817,Q,0,1,0,5,1
818,Q,0,1,0,2,1
819,Q,0,1,0,3,1
820,Q,0,1,1,3,0
821,Q,0,1,0,2,1
822,Q,0,1,0,4,1
823,Q,0,1,1,2,0
824,Q,0,1,0,2,1
825,Q,0,1,0,3,1
826,Q,0,1,0,3,1
827,Q,0,1,0,2,1
828,Q,0,1,0,2,1
829,Q,0,1,0,4,1
830,Q,0,1,1,6,0
831,Q,0,1,1,5,0
832,Q,0,1,0,2,1
833,Q,0,1,0,4,1
834,Q,0,1,0,2,1
835,Q,0,1,0,2,1
836,Q,0,1,0,3,1
837,Q,0,1,0,3,1
838,Q,0,1,0,3,1
839,Q,0,1,0,6,1
840,Q,0,1,0,2,1
841,Q,0,1,0,3,1
842,Q,0,1,0,2,1
843,Q,0,1,0,6,1
844,Q,0,1,0,2,1
845,Q,0,1,0,4,1
846,Q,0,1,0,5,1
847,Q,0,1,0,4,1
848,Q,0,1,0,5,1
849,Q,0,1,0,3,1
850,Q,0,1,0,2,1
851,Q,0,1,0,5,1
852,Q,0,1,0,2,1
853,Q,0,1,0,3,1
854,Q,0,1,0,3,1
855,Q,0,1,0,3,1
856,Q,0,1,0,4,1
857,Q,0,1,0,3,1
858,Q,0,1,0,3,1
859,Q,0,1,0,3,1
860,Q,0,1,0,2,1
861,Q,0,1,0,4,1
862,Q,0,1,0,3,1
863,Q,0,1,0,3,1
864,Q,0,1,0,2,1
865,Q,0,1,0,5,1
866,Q,0,1,0,6,1
867,Q,0,1,0,4,1
868,Q,0,1,0,4,1
869,Q,0,1,0,3,1
870,Q,0,1,0,5,1
871,Q,0,1,0,3,1
872,Q,0,1,0,3,1
873,Q,0,1,0,5,1
874,Q,0,1,0,2,1
875,Q,0,1,0,2,1
876,Q,0,1,0,4,1
877,Q,0,1,0,2,1
878,Q,0,1,0,2,1
879,Q,0,1,0,9,1
880,Q,0,1,0,3,1
881,Q,0,1,0,3,1
882,Q,0,1,0,6,1
883,Q,0,1,0,5,1
884,Q,0,1,1,6,0
885,Q,0,1,0,2,1
886,Q,0,1,1,5,0
887,Q,0,1,0,3,1
888,Q,0,1,0,2,1
889,Q,0,1,0,5,1
890,Q,0,1,0,3,1
891,Q,0,1,0,3,1
892,Q,0,1,0,2,1
893,Q,0,1,0,3,1
894,Q,0,1,0,3,1
895,Q,0,1,0,5,1
896,Q,0,1,0,2,1
897,Q,0,1,0,2,1
898,Q,0,1,0,2,1
899,Q,0,1,0,3,1
900,Q,0,1,0,4,1
901,Q,0,1,0,3,1
902,Q,0,1,0,3,1
903,Q,0,1,1,4,0
904,Q,0,1,0,2,1
905,Q,0,1,0,3,1
906,Q,0,1,0,3,1
907,Q,0,1,0,4,1
908,Q,0,1,0,3,1
909,Q,0,1,0,2,1
910,Q,0,1,0,3,1
911,Q,0,1,0,2,1
912,Q,0,1,0,3,1
913,Q,0,1,0,2,1
914,Q,0,1,0,3,1
915,Q,0,1,0,3,1
916,Q,0,1,0,3,1
917,Q,0,1,0,2,1
918,Q,0,1,0,3,1
919,Q,0,1,0,4,1
920,Q,0,1,0,4,1
921,Q,0,1,0,2,1
922,Q,0,1,0,2,1
923,Q,0,1,0,3,1
924,Q,0,1,0,3,1
925,Q,0,1,0,2,1
